Date,Index_Return,Index_Level,Predicted_Return,Residual
2024-03-15,-0.0141227272727272,13757.56222894774,0.0013931515678450269,-0.015515878840572227
2024-03-18,0.0064045454545454,13845.673161586772,0.001107934635863238,0.005296610818682162
2024-03-19,-0.0014818181818181,13825.15639135642,0.0011793450559200427,-0.002661163237738143
2024-03-20,0.0172204545454545,14063.231868577575,0.000990823791198161,0.01622963075425634
2024-03-21,0.0097590909090909,14200.47622685865,0.0011138846539032186,0.00864520625518768
2024-03-22,-0.0035886363636363,14149.51588148999,0.0009380545074481775,-0.004526690871084477
2024-03-25,0.0005045454545454,14156.654955412014,0.0010813252968877205,-0.0005767798423423205
2024-03-26,-0.0011068181818181,14140.986112313638,0.0009097872172340294,-0.0020166053990521293
2024-03-27,0.0045022727272727,14204.65268842385,0.0010626327076553024,0.003439640019617398
2024-03-28,-0.0042863636363636,14143.766381673016,0.0008934481564234313,-0.005179811792787032
2024-04-01,0.0030295454545454,14186.615564824768,0.0010513527024430256,0.0019781927521023744
2024-04-02,-0.0109045454545454,14031.916970551974,0.0008839778341449364,-0.011788523288690336
2024-04-03,0.0032136363636363,14077.010449180065,0.0010443660854026985,0.0021692702782336016
2024-04-04,-0.0180772727272727,13822.53649210557,0.0008787529457317186,-0.018956025673004417
2024-04-05,0.0109113636363636,13973.359214147838,0.0010399058486903275,0.009871457787673272
2024-04-08,0.0027931818181818,14012.389347043722,0.0008762333680891546,0.0019169484500926456
2024-04-09,0.0069136363636363,14109.265911574874,0.001036915721189202,0.0058767206424470975
2024-04-10,-0.0124181818181818,13934.054482163863,0.0008754639333744094,-0.01329364575155621
2024-04-11,0.0166499999999999,14166.056489291892,0.0010347555569970826,0.015615244443002819
2024-04-12,-0.024775,13815.092439769684,0.0008758362563072859,-0.025650836256307284
2024-04-15,-0.0210477272727272,13524.316141849897,0.0010330383611458483,-0.02208076563387305
2024-04-16,0.0018340909090909,13549.120967137334,0.0008769564456140098,0.0009571344634768902
2024-04-17,-0.0193772727272727,13286.575954942306,0.0010315331759498108,-0.020408805903222513
2024-04-18,-0.0095068181818181,13160.262893079753,0.0008785661625861856,-0.010385384344404286
2024-04-19,-0.0222795454545454,12867.058217759612,0.0010301055416000989,-0.023309650996145497
2024-04-22,0.016715909090909,13082.142793195117,0.0008804939033501039,0.015835415187558897
2024-04-23,0.0208136363636363,13354.429756149844,0.0010286805492656518,0.01978495581437065
2024-04-24,0.0047431818181818,13417.7722445614,0.0008826243982515751,0.003860557419930225
2024-04-25,-0.0006068181818181,13409.630096403904,0.001027219780786674,-0.0016340379626047742
2024-04-26,0.0195318181818181,13671.544553332304,0.0008848791724638229,0.01864693900935428
2024-04-29,-0.0016886363636363,13648.458286052472,0.0010257068785699951,-0.002714343242206295
2024-04-30,-0.0236545454545454,13325.610209140576,0.0008872040863485403,-0.024541749540893942
2024-05-01,-0.0147613636363636,13128.906031167013,0.0010241385153862174,-0.015785502151749817
2024-05-02,0.017875,13363.585226474124,0.0008895612839698176,0.01698543871603018
2024-05-03,0.0167454545454545,13587.364535448356,0.0010225187586473275,0.015722935786807172
2024-05-06,0.0150613636363636,13792.008773576576,0.0008919239473421024,0.014169439689021499
2024-05-07,-0.006225,13706.15351896106,0.0010208555752523748,-0.007245855575252374
2024-05-08,-0.0029522727272727,13665.68921573122,0.0008942728488762175,-0.0038465455761489175
2024-05-09,0.0016931818181818,13688.827712244218,0.0010191586885461305,0.0006740231296356695
2024-05-10,0.0026,13724.418664296052,0.0008965940639520715,0.0017034059360479283
2024-05-13,0.0062113636363636,13809.666019317692,0.0010174382893223394,0.005193925347041261
2024-05-14,0.0071977272727272,13909.06422905219,0.0008988774369618348,0.006298849835765365
2024-05-15,0.0255227272727272,14264.061481989133,0.0010157042850818016,0.0245070229876454
2024-05-16,-0.0021363636363636,14233.588259732158,0.0009011155401228541,-0.003037479176486454
2024-05-17,0.0010318181818181,14248.274734891062,0.0010139658867883907,1.7852295029709272e-05
2024-05-20,0.0139704545454545,14447.329609426008,0.000903302956980307,0.013067151588474192
2024-05-21,-0.005615909090909,14366.194719733072,0.0010122314053020117,-0.006628140496211011
2024-05-22,0.0036499999999999,14418.631330460095,0.0009054357816267074,0.0027445642183731925
2024-05-23,-0.0092386363636363,14285.422838736642,0.001010508176097434,-0.010249144539733733
2024-05-24,0.0074068181818181,14391.232368353558,0.0009075112625850839,0.006499306919233017
2024-05-28,-0.0023431818181818,14357.5110943268,0.001008802560530915,-0.0033519843787127145
2024-05-29,-0.0121181818181818,14183.524164429187,0.0009095275447524969,-0.013027709362934297
2024-05-30,-0.0178204545454545,13930.76731676262,0.001007119990900474,-0.018827574536354974
2024-05-31,-0.0073818181818181,13827.932925297064,0.0009114834786421454,-0.008293301660460245
2024-06-03,0.001065909090909,13842.67224471062,0.0010054650387164793,6.04440521925207e-05
2024-06-04,-0.0031136363636363,13799.571197039588,0.0009133784764756677,-0.004027014840111968
2024-06-05,0.028265909090909,14189.628621988635,0.0010038414934036455,0.027262067597505355
2024-06-06,-0.0015318181818181,14167.892690872226,0.0009152124014239423,-0.002447030583242042
2024-06-07,-0.0022818181818181,14135.564135732144,0.001002252443653515,-0.0032840706254716155
2024-06-10,0.0088181818181818,14260.2141103836,0.0009169854807302278,0.007901196337451571
2024-06-11,0.0041068181818181,14318.778216968743,0.0010007003568366978,0.003106117824981403
2024-06-12,0.0181090909090909,14578.078273406942,0.0009186982363811376,0.017190392672709765
2024-06-13,-0.0077227272727272,14465.495750740947,0.0009991871539083784,-0.008721914426635578
