Date,Company,Price Close_lag1,Volume_lag1,Return,Mkt-RF_lag1,SMB_lag1,HML_lag1,RMW_lag1,CMA_lag1,RF_lag1
2021-02-19,AAPL.O,"129,71",96856748.0,0.0012,-0.64,-1.49,-0.18,0.92,-0.46,0.0
2021-02-22,AAPL.O,"129,87",87668834.0,-0.0298,0.16,2.04,0.72,-0.45,0.54,0.0
2021-02-23,AAPL.O,126,103916419.0,-0.0011,-1.13,0.71,3.17,1.69,0.86,0.0
2021-02-24,AAPL.O,"125,86",158273022.0,-0.0041,-0.15,-1.03,0.89,1.15,-0.21,0.0
2021-02-25,AAPL.O,"125,35",111039904.0,-0.0348,1.15,1.49,1.42,-0.31,0.33,0.0
2021-02-26,AAPL.O,"120,99",148199540.0,0.0022,-2.74,-0.92,0.91,1.0,0.41,0.0
2021-03-01,AAPL.O,"121,26",164560394.0,0.0539,-0.28,0.3,-1.55,0.0,-0.43,0.0
2021-03-02,AAPL.O,"127,79",116307892.0,-0.0209,2.63,1.17,0.15,-0.45,0.32,0.0
2021-03-03,AAPL.O,"125,12",102260945.0,-0.0245,-1.05,-0.77,1.23,0.62,0.21,0.0
2021-03-04,AAPL.O,"122,06",112966340.0,-0.0158,-1.57,0.64,3.56,1.66,1.05,0.0
2021-03-05,AAPL.O,"120,13",178154975.0,0.0107,-1.7,-1.1,1.72,1.28,0.43,0.0
2021-03-08,AAPL.O,"121,42",153766601.0,-0.0417,1.85,0.36,0.63,0.97,0.49,0.0
2021-03-09,AAPL.O,"116,36",154376610.0,0.0406,-0.67,1.49,3.68,1.61,0.9,0.0
2021-03-10,AAPL.O,"121,085",129525780.0,-0.0091,1.79,0.45,-3.24,-1.86,-0.46,0.0
2021-03-11,AAPL.O,"119,98",111943326.0,0.0165,0.68,1.2,1.82,-0.07,0.16,0.0
2021-03-12,AAPL.O,"121,96",103026514.0,-0.0076,1.43,1.06,-1.98,-1.39,-0.84,0.0
2021-03-15,AAPL.O,"121,03",88105050.0,0.0245,0.1,0.53,1.29,0.62,0.6,0.0
2021-03-16,AAPL.O,"123,99",92590555.0,0.0127,0.7,-0.3,-1.32,0.21,0.1,0.0
2021-03-17,AAPL.O,"125,57",115227936.0,-0.0065,-0.43,-1.37,-0.81,0.31,-0.03,0.0
2021-03-18,AAPL.O,"124,76",111932636.0,-0.0339,0.33,0.63,0.32,-0.03,0.15,0.0
2021-03-19,AAPL.O,"120,53",121469755.0,-0.0045,-1.88,-1.21,2.15,0.94,0.46,0.0
2021-03-22,AAPL.O,"119,99",185549522.0,0.0283,0.25,0.93,-0.97,-0.78,-0.56,0.0
2021-03-23,AAPL.O,"123,39",111912284.0,-0.0069,0.55,-1.71,-2.24,-0.23,-0.07,0.0
2021-03-24,AAPL.O,"122,54",95467142.0,-0.02,-1.17,-2.95,-1.05,0.58,-0.78,0.0
2021-03-25,AAPL.O,"120,09",88530485.0,0.0042,-1.0,-1.57,1.46,1.38,0.12,0.0
2021-03-26,AAPL.O,"120,59",98844681.0,0.0051,0.67,2.01,1.4,0.45,1.13,0.0
2021-03-29,AAPL.O,"121,21",94071234.0,0.0015,1.55,0.2,0.68,0.79,0.59,0.0
2021-03-30,AAPL.O,"121,39",80819203.0,-0.0123,-0.49,-2.48,-0.21,0.9,-0.03,0.0
2021-03-31,AAPL.O,"119,9",85671919.0,0.0188,-0.02,1.83,1.0,-0.26,-0.2,0.0
2021-04-01,AAPL.O,"122,15",118323826.0,0.007,0.63,0.58,-2.31,-1.17,-0.27,0.0
2021-04-05,AAPL.O,123,75089134.0,0.0236,1.27,0.21,-0.02,-0.69,-0.49,0.0
2021-04-06,AAPL.O,"125,9",88651175.0,0.0025,1.27,-0.69,-0.72,0.99,0.1,0.0
2021-04-07,AAPL.O,"126,21",80171253.0,0.0134,0.01,-0.33,0.1,-0.11,-0.27,0.0
2021-04-08,AAPL.O,"127,9",83466716.0,0.0192,-0.12,-1.54,0.3,0.69,-0.1,0.0
2021-04-09,AAPL.O,"130,36",88844591.0,0.0202,0.62,0.27,-1.16,-0.54,-0.38,0.0
2021-04-12,AAPL.O,"132,995",106686703.0,-0.0132,0.65,-0.62,0.13,0.79,0.14,0.0
2021-04-13,AAPL.O,"131,24",91419983.0,0.0243,-0.05,-0.46,0.58,0.73,-0.34,0.0
2021-04-14,AAPL.O,"134,43",91266545.0,-0.0179,0.41,-0.78,-1.58,-1.06,-0.39,0.0
