Date,Index_Return,Index_Level
2021-01-04,-0.014469047619047623,7431.938188452381
2021-01-05,0.016157142857142856,7552.017075468661
2021-01-06,-0.012897619047619047,7454.614036188151
2021-01-07,0.04003333333333334,7753.047084770216
2021-01-08,0.007961904761904762,7814.776107273721
2021-01-11,0.0011904761904761895,7824.0794121633335
2021-01-12,0.008219047619047619,7888.385893427115
2021-01-13,-0.0013333333333333335,7877.868045569211
2021-01-14,0.010040476190476192,7956.965592112463
2021-01-15,-0.014635714285714283,7840.5097171250445
2021-01-19,0.024219047619047623,8030.399395321701
2021-01-20,0.007876190476190476,8093.64835055914
2021-01-21,0.0036714285714285716,8123.363602360479
2021-01-22,0.004045238095238095,8156.224542266218
2021-01-25,0.002197619047619048,8174.1488166769595
2021-01-26,-0.012833333333333332,8069.247240196271
2021-01-27,-0.03730714285714286,7768.206680656664
2021-01-28,0.020714285714285713,7929.119533327408
2021-01-29,-0.013554761904761903,7821.642205938759
2021-02-01,0.02756904761904762,8037.277432373436
2021-02-02,0.022204761904761904,8215.743264121804
2021-02-03,-0.003857142857142858,8184.053968674476
2021-02-04,0.014549999999999997,8303.13195391869
2021-02-05,0.002123809523809524,8320.766224639869
2021-02-08,0.02292857142857143,8511.54950736197
2021-02-09,0.009538095238095238,8592.73347718695
2021-02-10,0.0005071428571428569,8597.091220593238
2021-02-11,0.017573809523809523,8748.174864162758
2021-02-12,0.006973809523809525,8809.182969346408
2021-02-16,-0.004395238095238095,8770.464512771612
2021-02-17,-0.013092857142857147,8655.634073829395
2021-02-18,-0.008752380952380952,8579.87666703083
2021-02-19,0.01566904761904762,8714.315163092093
2021-02-22,-0.037709523809523804,8385.702487965777
2021-02-23,-0.013473809523809523,8272.71512991959
2021-02-24,0.02159761904761905,8451.386079785068
2021-02-25,-0.04939999999999999,8033.887607443686
2021-02-26,0.014528571428571427,8150.608517397546
2021-03-01,0.03166666666666666,8408.71112044847
2021-03-02,-0.026107142857142857,8189.183697982476
2021-03-03,-0.03498571428571429,7902.679256891632
2021-03-04,-0.03559285714285714,7621.400323055268
2021-03-05,0.012885714285714289,7719.60751007521
2021-03-08,-0.043880952380952375,7380.863780525958
2021-03-09,0.05747857142857143,7805.105286539476
2021-03-10,-0.010954761904761906,7719.602216483838
2021-03-11,0.04266904761904762,8048.990291059094
2021-03-12,-0.013471428571428568,7940.558893280969
2021-03-15,0.015202380952380952,8061.274294551442
2021-03-16,0.001664285714285714,8074.690558198802
2021-03-17,0.005421428571428571,8118.466916296466
2021-03-18,-0.039642857142857146,7796.627692114713
2021-03-19,0.011952380952380952,7889.815956434751
2021-03-22,0.014773809523809526,8006.378594553031
2021-03-23,-0.015471428571428575,7882.508480011588
2021-03-24,-0.021352380952380953,7714.198156086009
2021-03-25,-0.0008642857142857141,7707.530884822534
2021-03-26,0.030819047619047617,7945.0696461871585
2021-03-29,-0.011935714285714287,7850.239564910167
2021-03-30,-0.0012880952380952381,7840.127708708699
2021-03-31,0.025314285714285716,8038.594941563438
2021-04-01,0.03121190476190476,8289.494801299046
2021-04-05,0.016399999999999998,8425.442516040352
2021-04-06,-0.0015357142857142857,8412.503443605005
2021-04-07,-0.006052380952380952,8361.587768001089
2021-04-08,0.016104761904761903,8496.249148150517
2021-04-09,0.006209523809523808,8549.006809527604
2021-04-12,-0.003552380952380953,8518.637480575662
2021-04-13,0.014538095238095239,8642.482243567078
2021-04-14,-0.01750952380952381,8491.156494949953
2021-04-15,0.017635714285714286,8640.904104850177
2021-04-16,-0.008748837209302328,8565.306241495651
2021-04-19,-0.020541860465116277,8389.358915841858
2021-04-20,-0.012360465116279069,8285.662537614651
2021-04-21,0.015493023255813951,8414.032499999741
2021-04-22,-0.011109302325581395,8320.558469179978
2021-04-23,0.017488372093023254,8466.071491710753
2021-04-26,0.01696046511627907,8609.660001917837
2021-04-27,-0.0044255813953488375,8571.557250793072
2021-04-28,-0.006146511627906976,8518.8720744818
2021-04-29,-0.0032813953488372086,8490.918287279257
2021-04-30,-0.017534883720930233,8342.031022427896
2021-05-03,-0.011867441860465115,8243.032454271037
2021-05-04,-0.018262790697674423,8092.491677844547
2021-05-05,-0.0022511627906976746,8074.274161695353
2021-05-06,-0.006858139534883721,8018.89966285154
2021-05-07,0.012734883720930235,8121.019417627762
2021-05-10,-0.03545348837209302,7833.100950135355
2021-05-11,0.007906976744186046,7895.037097182936
2021-05-12,-0.0350046511627907,7618.674077678755
2021-05-13,0.0008651162790697684,7625.265116648282
2021-05-14,0.03840697674418605,7918.128496651648
2021-05-17,-0.00711860465116279,7861.762470306879
2021-05-18,0.000613953488372093,7866.589226800275
2021-05-19,0.009302325581395349,7939.766801003068
2021-05-20,0.025325581395348837,8140.84601138196
2021-05-21,-0.0030093023255813958,8116.347744547708
2021-05-24,0.020606976744186045,8283.60113376733
2021-05-25,0.0026837209302325578,8305.83200750772
2021-05-26,0.0070674418604651165,8364.532992323571
2021-05-27,0.003016279069767442,8389.762758116696
2021-05-28,0.004165116279069767,8424.707095558062
2021-06-01,-0.002890697674418604,8400.353814349275
2021-06-02,0.004420930232558139,8437.491192491318
2021-06-03,-0.01903488372093023,8276.884528745872
2021-06-04,0.021776744186046512,8457.128125785817
2021-06-07,-0.0009372093023255818,8449.202026635372
2021-06-08,-0.0009837209302325583,8440.890369758008
2021-06-09,0.0014465116279069766,8453.100215827752
2021-06-10,0.01572558139534884,8586.03013131479
2021-06-11,0.00661860465116279,8642.857670276933
2021-06-14,0.01611395348837209,8782.128276782396
2021-06-15,-0.00681860465116279,8722.246416067219
