number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_epochs,params_lookback,params_units,user_attrs_Company,state,Company
0,0.05382000290511689,2025-05-01 09:07:48.598167,2025-05-01 09:08:19.613072,0 days 00:00:31.014905,64,0.14233155083116864,31,51,196,CDW.O,COMPLETE,CDW.O
1,0.05563050370365205,2025-05-01 09:08:19.620962,2025-05-01 09:08:41.557940,0 days 00:00:21.936978,64,0.327702926638763,35,41,56,CDW.O,COMPLETE,CDW.O
2,0.05467046460585518,2025-05-01 09:08:41.567636,2025-05-01 09:08:58.001960,0 days 00:00:16.434324,32,0.27782615876760725,31,26,89,CDW.O,COMPLETE,CDW.O
3,0.05389555735407624,2025-05-01 09:08:58.015309,2025-05-01 09:09:10.355570,0 days 00:00:12.340261,64,0.1597033269567355,31,26,78,CDW.O,COMPLETE,CDW.O
4,0.05028698330528307,2025-05-01 09:09:10.364033,2025-05-01 09:09:41.906086,0 days 00:00:31.542053,32,0.3481082294257707,24,21,152,CDW.O,COMPLETE,CDW.O
5,0.052020431781405654,2025-05-01 09:09:41.914197,2025-05-01 09:10:26.895966,0 days 00:00:44.981769,32,0.3964396820780062,29,36,251,CDW.O,COMPLETE,CDW.O
6,0.054948349339750374,2025-05-01 09:10:26.902219,2025-05-01 09:10:34.092520,0 days 00:00:07.190301,32,0.31570110447867,34,11,51,CDW.O,COMPLETE,CDW.O
7,0.05523275608923455,2025-05-01 09:10:34.101741,2025-05-01 09:10:55.929972,0 days 00:00:21.828231,32,0.4864152280963716,30,46,114,CDW.O,COMPLETE,CDW.O
8,0.04998633203689106,2025-05-01 09:10:55.936723,2025-05-01 09:12:15.165216,0 days 00:01:19.228493,32,0.3867416141548756,35,46,249,CDW.O,COMPLETE,CDW.O
9,0.05886865103900421,2025-05-01 09:12:15.173078,2025-05-01 09:12:42.392513,0 days 00:00:27.219435,32,0.3628641459869444,22,51,73,CDW.O,COMPLETE,CDW.O
10,0.03153155999660321,2025-05-01 09:12:42.397997,2025-05-01 09:12:51.711683,0 days 00:00:09.313686,64,0.49743866300783157,26,1,251,CDW.O,COMPLETE,CDW.O
11,0.03154311157512629,2025-05-01 09:12:51.721405,2025-05-01 09:13:01.188625,0 days 00:00:09.467220,64,0.497158895362963,26,1,252,CDW.O,COMPLETE,CDW.O
