Company,lookback,units,dropout,batch_size,epochs
ON.O,1,182,0.4054855727652202,32,33
PANW.O,1,223,0.1135849783076601,32,21
PDD.O,1,164,0.4444958695426148,32,30
PLTR.O,1,246,0.38596238700578267,32,28
QCOM.O,1,227,0.29765939942532965,32,32
ROP.O,1,224,0.35384476310108254,64,27
SNPS.O,1,255,0.2325336236776488,64,26
TEAM.O,1,172,0.3621630587017221,32,20
TXN.O,1,219,0.1750553051433156,64,35
WDAY.O,1,95,0.48654602687209114,32,29
ZS.O,1,227,0.1717298780534997,32,32
