Company,lookback,units,dropout,batch_size,epochs
CDW.O,1,235,0.4940136686220294,64,26
CRWD.O,1,137,0.1003678307714219,32,35
CTSH.O,1,230,0.3187418106868323,32,32
DASH.O,1,154,0.3732156132990283,32,31
DDOG.O,1,187,0.1487041943655756,64,34
FTNT.O,1,194,0.2869447094663492,64,29
GFS.O,36,183,0.2881528989701108,32,28
GOOG.O,1,242,0.3935328962818216,32,25
GOOGL.O,1,201,0.3103035857298209,32,23
INTC.O,1,189,0.22575800676086075,32,23
INTU.O,1,254,0.10547275773788117,64,23
