number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_epochs,params_lookback,params_units,user_attrs_Company,state,Company
0,0.04150563684313948,2025-05-01 09:08:20.842190,2025-05-01 09:08:28.502344,0 days 00:00:07.660154,64,0.12447358696291029,25,11,70,AAPL.O,COMPLETE,AAPL.O
1,0.03198694226827795,2025-05-01 09:08:28.514285,2025-05-01 09:09:00.640783,0 days 00:00:32.126498,32,0.34486460387712803,28,31,162,AAPL.O,COMPLETE,AAPL.O
2,0.0365389607836563,2025-05-01 09:09:00.658270,2025-05-01 09:09:19.163105,0 days 00:00:18.504835,64,0.41965226940634015,29,16,223,AAPL.O,COMPLETE,AAPL.O
3,0.03139234200485862,2025-05-01 09:09:19.179092,2025-05-01 09:09:28.948190,0 days 00:00:09.769098,64,0.16003591543505413,29,6,149,AAPL.O,COMPLETE,AAPL.O
4,0.03665724709897481,2025-05-01 09:09:28.975380,2025-05-01 09:09:47.961214,0 days 00:00:18.985834,64,0.2030856136888255,29,26,122,AAPL.O,COMPLETE,AAPL.O
5,0.030512033016842365,2025-05-01 09:09:47.974968,2025-05-01 09:10:13.378877,0 days 00:00:25.403909,32,0.4521796907753729,28,11,220,AAPL.O,COMPLETE,AAPL.O
6,0.04877397050863816,2025-05-01 09:10:13.393824,2025-05-01 09:10:22.228143,0 days 00:00:08.834319,64,0.36642327909596295,20,31,77,AAPL.O,COMPLETE,AAPL.O
7,0.05888791369041066,2025-05-01 09:10:22.240528,2025-05-01 09:10:35.491720,0 days 00:00:13.251192,64,0.23832197144354927,32,41,33,AAPL.O,COMPLETE,AAPL.O
8,0.037157150285625315,2025-05-01 09:10:35.506219,2025-05-01 09:11:01.959263,0 days 00:00:26.453044,64,0.3373753192998876,25,31,120,AAPL.O,COMPLETE,AAPL.O
9,0.031912011193129475,2025-05-01 09:11:01.976649,2025-05-01 09:11:27.117218,0 days 00:00:25.140569,32,0.44723559301504934,25,31,154,AAPL.O,COMPLETE,AAPL.O
10,0.030170770324911812,2025-05-01 09:11:27.132991,2025-05-01 09:13:45.794515,0 days 00:02:18.661524,32,0.49200741904552125,34,56,253,AAPL.O,COMPLETE,AAPL.O
11,0.03333955271301588,2025-05-01 09:13:45.808008,2025-05-01 09:15:01.280711,0 days 00:01:15.472703,32,0.4885782951059095,35,51,246,AAPL.O,COMPLETE,AAPL.O
12,0.030867567544021857,2025-05-01 09:15:01.296760,2025-05-01 09:16:02.622006,0 days 00:01:01.325246,32,0.4933584953430974,35,56,201,AAPL.O,COMPLETE,AAPL.O
13,0.02196366363045548,2025-05-01 09:16:02.635846,2025-05-01 09:16:14.260463,0 days 00:00:11.624617,32,0.41350878691658954,32,1,253,AAPL.O,COMPLETE,AAPL.O
14,0.022246000369490728,2025-05-01 09:16:14.273401,2025-05-01 09:16:22.535261,0 days 00:00:08.261860,32,0.398701333186847,32,1,256,AAPL.O,COMPLETE,AAPL.O
