number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_epochs,params_lookback,params_units,user_attrs_Company,state,Company
21,0.03648535758015576,2025-05-01 09:14:15.955345,2025-05-01 09:14:23.464986,0 days 00:00:07.509641,32,0.17499349239579592,35,1,104,KLAC.O,COMPLETE,KLAC.O
22,0.04933535369522448,2025-05-01 09:14:23.473486,2025-05-01 09:14:32.684440,0 days 00:00:09.210954,32,0.17833611550695966,33,6,107,KLAC.O,COMPLETE,KLAC.O
23,0.036646986394882154,2025-05-01 09:14:32.694887,2025-05-01 09:14:42.248404,0 days 00:00:09.553517,32,0.24547940615581196,34,1,147,KLAC.O,COMPLETE,KLAC.O
24,0.049713775864486213,2025-05-01 09:14:42.259606,2025-05-01 09:14:52.367518,0 days 00:00:10.107912,32,0.16985802699673902,32,6,127,KLAC.O,COMPLETE,KLAC.O
25,0.05112765235579932,2025-05-01 09:14:52.375116,2025-05-01 09:15:19.461337,0 days 00:00:27.086221,32,0.15694733067062303,34,16,156,KLAC.O,COMPLETE,KLAC.O
26,0.03723437442348042,2025-05-01 09:15:19.474094,2025-05-01 09:15:29.341053,0 days 00:00:09.866959,64,0.2089846471702524,31,1,196,KLAC.O,COMPLETE,KLAC.O
27,0.057072987592284026,2025-05-01 09:15:29.352957,2025-05-01 09:15:41.418939,0 days 00:00:12.065982,32,0.33811888959506853,35,11,96,KLAC.O,COMPLETE,KLAC.O
28,0.051184426938497875,2025-05-01 09:15:41.431318,2025-05-01 09:15:50.532679,0 days 00:00:09.101361,32,0.26318068486957424,32,6,65,KLAC.O,COMPLETE,KLAC.O
29,0.051272413375177725,2025-05-01 09:15:50.549050,2025-05-01 09:16:18.353848,0 days 00:00:27.804798,64,0.20695012925078152,34,56,108,KLAC.O,COMPLETE,KLAC.O
0,0.031030089377368706,2025-05-01 09:16:18.403190,2025-05-01 09:16:30.011069,0 days 00:00:11.607879,64,0.31592246737528096,34,1,82,LRCX.O,COMPLETE,LRCX.O
1,0.0538046391497144,2025-05-01 09:16:30.018794,2025-05-01 09:16:44.763671,0 days 00:00:14.744877,32,0.45802957678625744,27,51,93,LRCX.O,COMPLETE,LRCX.O
2,0.045013000823402344,2025-05-01 09:16:44.774624,2025-05-01 09:17:16.638000,0 days 00:00:31.863376,32,0.14870222197774524,26,51,62,LRCX.O,COMPLETE,LRCX.O
3,0.04454409443842781,2025-05-01 09:17:16.650117,2025-05-01 09:17:33.405547,0 days 00:00:16.755430,32,0.12206198420790555,24,6,217,LRCX.O,COMPLETE,LRCX.O
4,0.05914848652237428,2025-05-01 09:17:33.415400,2025-05-01 09:17:41.042861,0 days 00:00:07.627461,64,0.2197266822599131,35,16,67,LRCX.O,COMPLETE,LRCX.O
5,0.04153304081729825,2025-05-01 09:17:41.049183,2025-05-01 09:18:26.856208,0 days 00:00:45.807025,32,0.14393020213722718,24,16,256,LRCX.O,COMPLETE,LRCX.O
6,0.044475009449929735,2025-05-01 09:18:26.864191,2025-05-01 09:18:44.975154,0 days 00:00:18.110963,32,0.3164744878176651,28,16,45,LRCX.O,COMPLETE,LRCX.O
7,0.04348898007419301,2025-05-01 09:18:44.994659,2025-05-01 09:19:13.385240,0 days 00:00:28.390581,64,0.16560355689534478,34,26,104,LRCX.O,COMPLETE,LRCX.O
8,0.03234011898528883,2025-05-01 09:19:13.398079,2025-05-01 09:19:26.522966,0 days 00:00:13.124887,32,0.21429756260014352,34,1,133,LRCX.O,COMPLETE,LRCX.O
9,0.043827796510138885,2025-05-01 09:19:26.541600,2025-05-01 09:21:13.842787,0 days 00:01:47.301187,64,0.25477445053993164,22,56,253,LRCX.O,COMPLETE,LRCX.O
10,0.04427397071662883,2025-05-01 09:21:13.852660,2025-05-01 09:21:58.414505,0 days 00:00:44.561845,64,0.37323597508169143,31,36,173,LRCX.O,COMPLETE,LRCX.O
11,0.03161994353958882,2025-05-01 09:21:58.422638,2025-05-01 09:22:07.977146,0 days 00:00:09.554508,64,0.32162940293688286,32,1,142,LRCX.O,COMPLETE,LRCX.O
12,0.03205866227794743,2025-05-01 09:22:07.983591,2025-05-01 09:22:17.733369,0 days 00:00:09.749778,64,0.3641735289036,31,1,158,LRCX.O,COMPLETE,LRCX.O
13,0.05055573019040252,2025-05-01 09:22:17.742917,2025-05-01 09:22:31.135083,0 days 00:00:13.392166,64,0.442407348850687,31,11,116,LRCX.O,COMPLETE,LRCX.O
14,0.04505542208337295,2025-05-01 09:22:31.142500,2025-05-01 09:23:13.823655,0 days 00:00:42.681155,64,0.3188052373907051,32,31,174,LRCX.O,COMPLETE,LRCX.O
15,0.03113567521970006,2025-05-01 09:23:13.832595,2025-05-01 09:23:25.539288,0 days 00:00:11.706693,64,0.3856722161236215,29,1,200,LRCX.O,COMPLETE,LRCX.O
16,0.049542387172136486,2025-05-01 09:23:25.547284,2025-05-01 09:23:47.721013,0 days 00:00:22.173729,64,0.39922649650201425,29,26,207,LRCX.O,COMPLETE,LRCX.O
17,0.044430111581510674,2025-05-01 09:23:47.732296,2025-05-01 09:24:09.166043,0 days 00:00:21.433747,64,0.2721629260669612,29,11,207,LRCX.O,COMPLETE,LRCX.O
18,0.05041075956844542,2025-05-01 09:24:09.173801,2025-05-01 09:24:20.248965,0 days 00:00:11.075164,64,0.42254155624597134,33,36,79,LRCX.O,COMPLETE,LRCX.O
19,0.04544353191039567,2025-05-01 09:24:20.256042,2025-05-01 09:24:27.121740,0 days 00:00:06.865698,64,0.4957045461807478,20,6,33,LRCX.O,COMPLETE,LRCX.O
20,0.05349258788289629,2025-05-01 09:24:27.130711,2025-05-01 09:24:42.119465,0 days 00:00:14.988754,64,0.3582052181453891,25,21,226,LRCX.O,COMPLETE,LRCX.O
21,0.031111170060599873,2025-05-01 09:24:42.135279,2025-05-01 09:24:50.563439,0 days 00:00:08.428160,64,0.33198909699673107,30,1,132,LRCX.O,COMPLETE,LRCX.O
22,0.04899480306026113,2025-05-01 09:24:50.570539,2025-05-01 09:24:58.201180,0 days 00:00:07.630641,64,0.2745231571735416,29,6,122,LRCX.O,COMPLETE,LRCX.O
23,0.28152564976732813,2025-05-01 09:24:58.208455,2025-05-01 09:25:02.897827,0 days 00:00:04.689372,64,0.3447674064120579,30,1,186,LRCX.O,COMPLETE,LRCX.O
24,0.04896451839941867,2025-05-01 09:25:02.905410,2025-05-01 09:25:10.749332,0 days 00:00:07.843922,64,0.39734883826680545,27,11,96,LRCX.O,COMPLETE,LRCX.O
25,0.043371276648045354,2025-05-01 09:25:10.758644,2025-05-01 09:25:17.556471,0 days 00:00:06.797827,64,0.28382392626833886,35,6,141,LRCX.O,COMPLETE,LRCX.O
26,0.0309693892875508,2025-05-01 09:25:17.563536,2025-05-01 09:25:29.458450,0 days 00:00:11.894914,64,0.23036191429541863,33,1,159,LRCX.O,COMPLETE,LRCX.O
27,0.049070778484825314,2025-05-01 09:25:29.465931,2025-05-01 09:25:41.123126,0 days 00:00:11.657195,64,0.2205303171973486,33,11,159,LRCX.O,COMPLETE,LRCX.O
28,0.05477089979612907,2025-05-01 09:25:41.134491,2025-05-01 09:26:00.906342,0 days 00:00:19.771851,64,0.19426524871557777,33,41,106,LRCX.O,COMPLETE,LRCX.O
29,0.04956400161899004,2025-05-01 09:26:00.920259,2025-05-01 09:26:13.911004,0 days 00:00:12.990745,32,0.24578150870701188,34,21,86,LRCX.O,COMPLETE,LRCX.O
0,0.05976443677430258,2025-05-01 09:26:13.955515,2025-05-01 09:27:08.594937,0 days 00:00:54.639422,32,0.33898836702362123,22,41,210,MCHP.O,COMPLETE,MCHP.O
1,0.06283380894071328,2025-05-01 09:27:08.606687,2025-05-01 09:28:07.551629,0 days 00:00:58.944942,64,0.25681957376311726,23,51,218,MCHP.O,COMPLETE,MCHP.O
2,0.07002512208195309,2025-05-01 09:28:07.559051,2025-05-01 09:28:23.001981,0 days 00:00:15.442930,64,0.2012389130623654,24,21,80,MCHP.O,COMPLETE,MCHP.O
3,0.06050278293927437,2025-05-01 09:28:23.009753,2025-05-01 09:28:42.601254,0 days 00:00:19.591501,64,0.23299533998062674,27,21,115,MCHP.O,COMPLETE,MCHP.O
4,0.07721580563499637,2025-05-01 09:28:42.614349,2025-05-01 09:28:54.813843,0 days 00:00:12.199494,64,0.25445527850629257,26,41,70,MCHP.O,COMPLETE,MCHP.O
5,0.04689329114580896,2025-05-01 09:28:54.826609,2025-05-01 09:29:03.779645,0 days 00:00:08.953036,32,0.11831176008987457,22,1,122,MCHP.O,COMPLETE,MCHP.O
6,0.07940043861468038,2025-05-01 09:29:03.789438,2025-05-01 09:29:10.659820,0 days 00:00:06.870382,64,0.36092727815069425,34,11,70,MCHP.O,COMPLETE,MCHP.O
7,0.056184516130479166,2025-05-01 09:29:10.671521,2025-05-01 09:29:47.128453,0 days 00:00:36.456932,32,0.40020863653494076,26,26,156,MCHP.O,COMPLETE,MCHP.O
8,0.0667258142539061,2025-05-01 09:29:47.140378,2025-05-01 09:30:47.411256,0 days 00:01:00.270878,32,0.4795272693541175,30,51,253,MCHP.O,COMPLETE,MCHP.O
9,0.06504514065712322,2025-05-01 09:30:47.421214,2025-05-01 09:31:31.245793,0 days 00:00:43.824579,32,0.4778161628498534,33,36,199,MCHP.O,COMPLETE,MCHP.O
10,0.04705461023376008,2025-05-01 09:31:31.252802,2025-05-01 09:31:42.671932,0 days 00:00:11.419130,32,0.10820864169594746,20,1,139,MCHP.O,COMPLETE,MCHP.O
11,0.04717434225775489,2025-05-01 09:31:42.678635,2025-05-01 09:31:51.944434,0 days 00:00:09.265799,32,0.10590978049330718,20,1,131,MCHP.O,COMPLETE,MCHP.O
12,0.04682355050969678,2025-05-01 09:31:51.950293,2025-05-01 09:32:02.096384,0 days 00:00:10.146091,32,0.11505592370094601,20,1,168,MCHP.O,COMPLETE,MCHP.O
13,0.05660992768738932,2025-05-01 09:32:02.112949,2025-05-01 09:32:16.679640,0 days 00:00:14.566691,32,0.174337303226002,22,11,109,MCHP.O,COMPLETE,MCHP.O
14,0.05494647757210532,2025-05-01 09:32:16.693726,2025-05-01 09:32:43.618446,0 days 00:00:26.924720,32,0.1602724702698788,29,11,177,MCHP.O,COMPLETE,MCHP.O
15,0.04657193502316606,2025-05-01 09:32:43.630740,2025-05-01 09:32:53.418344,0 days 00:00:09.787604,32,0.14732587512311157,20,1,169,MCHP.O,COMPLETE,MCHP.O
16,0.05646740883594802,2025-05-01 09:32:53.426229,2025-05-01 09:33:13.008277,0 days 00:00:19.582048,32,0.15148362416726086,20,11,175,MCHP.O,COMPLETE,MCHP.O
17,0.06531180435824187,2025-05-01 09:33:13.016233,2025-05-01 09:33:19.250818,0 days 00:00:06.234585,32,0.2936452071142437,24,6,40,MCHP.O,COMPLETE,MCHP.O
18,0.05345106725519773,2025-05-01 09:33:19.261240,2025-05-01 09:33:54.328158,0 days 00:00:35.066918,32,0.20622499369732256,31,16,181,MCHP.O,COMPLETE,MCHP.O
19,0.058763462413781956,2025-05-01 09:33:54.337948,2025-05-01 09:34:40.446706,0 days 00:00:46.108758,32,0.16598830779368606,25,31,238,MCHP.O,COMPLETE,MCHP.O
20,0.059810614339154466,2025-05-01 09:34:40.456037,2025-05-01 09:34:57.388823,0 days 00:00:16.932786,32,0.30022298865167346,21,6,159,MCHP.O,COMPLETE,MCHP.O
21,0.04669329750381995,2025-05-01 09:34:57.397472,2025-05-01 09:35:06.849600,0 days 00:00:09.452128,32,0.1295009512829824,22,1,111,MCHP.O,COMPLETE,MCHP.O
22,0.06354379493012854,2025-05-01 09:35:06.861651,2025-05-01 09:35:12.387583,0 days 00:00:05.525932,32,0.1374151270513546,21,6,94,MCHP.O,COMPLETE,MCHP.O
23,0.046699936303940905,2025-05-01 09:35:12.397511,2025-05-01 09:35:22.544229,0 days 00:00:10.146718,32,0.18383982800098875,23,1,151,MCHP.O,COMPLETE,MCHP.O
24,0.05733776038299261,2025-05-01 09:35:22.550786,2025-05-01 09:35:47.883448,0 days 00:00:25.332662,32,0.20374075992374982,24,16,149,MCHP.O,COMPLETE,MCHP.O
25,0.06382018816221932,2025-05-01 09:35:47.890426,2025-05-01 09:35:59.912021,0 days 00:00:12.021595,32,0.18831074267196357,23,6,193,MCHP.O,COMPLETE,MCHP.O
26,0.07435162619358739,2025-05-01 09:35:59.918944,2025-05-01 09:36:12.232857,0 days 00:00:12.313913,64,0.23538908772694417,28,16,98,MCHP.O,COMPLETE,MCHP.O
27,0.047258731292784614,2025-05-01 09:36:12.250260,2025-05-01 09:36:22.442991,0 days 00:00:10.192731,32,0.13892798588679034,23,1,138,MCHP.O,COMPLETE,MCHP.O
28,0.06506936889365905,2025-05-01 09:36:22.452976,2025-05-01 09:36:43.083019,0 days 00:00:20.630043,32,0.22796646991169012,21,56,39,MCHP.O,COMPLETE,MCHP.O
29,0.05737858679402887,2025-05-01 09:36:43.088898,2025-05-01 09:37:15.547002,0 days 00:00:32.458104,32,0.2826917136431982,22,21,197,MCHP.O,COMPLETE,MCHP.O
0,0.024463907092993904,2025-05-01 09:37:15.598140,2025-05-01 09:37:24.383707,0 days 00:00:08.785567,32,0.2738769021979648,22,1,69,MDB.O,COMPLETE,MDB.O
1,0.05210284369392922,2025-05-01 09:37:24.395572,2025-05-01 09:37:35.953611,0 days 00:00:11.558039,32,0.3449076761591423,29,36,34,MDB.O,COMPLETE,MDB.O
2,0.03771903567871655,2025-05-01 09:37:35.962243,2025-05-01 09:38:33.622773,0 days 00:00:57.660530,32,0.3845867847369555,26,31,228,MDB.O,COMPLETE,MDB.O
3,0.046437246308002264,2025-05-01 09:38:33.633776,2025-05-01 09:39:14.711891,0 days 00:00:41.078115,32,0.2084081797928916,35,56,108,MDB.O,COMPLETE,MDB.O
4,0.044282686572204945,2025-05-01 09:39:14.724648,2025-05-01 09:40:14.872767,0 days 00:01:00.148119,64,0.4750268012209591,31,36,253,MDB.O,COMPLETE,MDB.O
5,0.04130449656111739,2025-05-01 09:40:14.883773,2025-05-01 09:41:01.420422,0 days 00:00:46.536649,32,0.11131263583992586,21,36,232,MDB.O,COMPLETE,MDB.O
6,0.03904213316770854,2025-05-01 09:41:01.429721,2025-05-01 09:42:42.594133,0 days 00:01:41.164412,32,0.43134118281179534,28,51,238,MDB.O,COMPLETE,MDB.O
7,0.04666299895756045,2025-05-01 09:42:42.608116,2025-05-01 09:43:32.129336,0 days 00:00:49.521220,64,0.11879897073208086,26,46,213,MDB.O,COMPLETE,MDB.O
8,0.05007106419826113,2025-05-01 09:43:32.135516,2025-05-01 09:43:41.195926,0 days 00:00:09.060410,32,0.2558782387047403,33,16,40,MDB.O,COMPLETE,MDB.O
9,0.02484847135711734,2025-05-01 09:43:41.210244,2025-05-01 09:43:49.908278,0 days 00:00:08.698034,32,0.23364517737493823,33,1,118,MDB.O,COMPLETE,MDB.O
10,0.10901401865802055,2025-05-01 09:43:49.914762,2025-05-01 09:43:53.965518,0 days 00:00:04.050756,64,0.31553888903827293,20,1,76,MDB.O,COMPLETE,MDB.O
11,0.02432470586111522,2025-05-01 09:43:53.977235,2025-05-01 09:44:02.312761,0 days 00:00:08.335526,32,0.21929640517633828,23,1,157,MDB.O,COMPLETE,MDB.O
12,0.03972034655625021,2025-05-01 09:44:02.325738,2025-05-01 09:44:28.985099,0 days 00:00:26.659361,32,0.18787901824859005,23,16,176,MDB.O,COMPLETE,MDB.O
13,0.045030321948373954,2025-05-01 09:44:28.992872,2025-05-01 09:44:48.078213,0 days 00:00:19.085341,32,0.2781074261254241,23,11,162,MDB.O,COMPLETE,MDB.O
14,0.04597715881715491,2025-05-01 09:44:48.086065,2025-05-01 09:45:02.961488,0 days 00:00:14.875423,64,0.17573890097760328,23,11,126,MDB.O,COMPLETE,MDB.O
15,0.02417591746806483,2025-05-01 09:45:02.973121,2025-05-01 09:45:16.545199,0 days 00:00:13.572078,32,0.3289241446845871,25,1,75,MDB.O,COMPLETE,MDB.O
16,0.04030513922950111,2025-05-01 09:45:16.551423,2025-05-01 09:45:51.726088,0 days 00:00:35.174665,32,0.35949291185992976,25,21,185,MDB.O,COMPLETE,MDB.O
17,0.04102915856905307,2025-05-01 09:45:51.734808,2025-05-01 09:46:08.532677,0 days 00:00:16.797869,32,0.40497651024854187,25,6,147,MDB.O,COMPLETE,MDB.O
18,0.04784076364236926,2025-05-01 09:46:08.539087,2025-05-01 09:46:28.365358,0 days 00:00:19.826271,64,0.3000828664415834,29,26,86,MDB.O,COMPLETE,MDB.O
19,0.04013675308524476,2025-05-01 09:46:28.374765,2025-05-01 09:46:53.119553,0 days 00:00:24.744788,32,0.14768049812102496,24,11,199,MDB.O,COMPLETE,MDB.O
20,0.043066801307051754,2025-05-01 09:46:53.126609,2025-05-01 09:47:08.321560,0 days 00:00:15.194951,32,0.22434604643164513,27,6,144,MDB.O,COMPLETE,MDB.O
21,0.02470238387394682,2025-05-01 09:47:08.328713,2025-05-01 09:47:17.428637,0 days 00:00:09.099924,32,0.3216164434359317,21,1,64,MDB.O,COMPLETE,MDB.O
22,0.04213820327510616,2025-05-01 09:47:17.435847,2025-05-01 09:47:27.728574,0 days 00:00:10.292727,32,0.26164805089575693,22,6,89,MDB.O,COMPLETE,MDB.O
23,0.10317565147741445,2025-05-01 09:47:27.736578,2025-05-01 09:47:32.275925,0 days 00:00:04.539347,32,0.2827427010196938,20,1,57,MDB.O,COMPLETE,MDB.O
24,0.04189912014588519,2025-05-01 09:47:32.290383,2025-05-01 09:47:49.230754,0 days 00:00:16.940371,32,0.3475545264354709,22,16,108,MDB.O,COMPLETE,MDB.O
25,0.04183519193502701,2025-05-01 09:47:49.238504,2025-05-01 09:48:01.010174,0 days 00:00:11.771670,32,0.23880376456145624,24,6,129,MDB.O,COMPLETE,MDB.O
26,0.04752106190703559,2025-05-01 09:48:01.020708,2025-05-01 09:48:17.334175,0 days 00:00:16.313467,64,0.1640448199590819,25,21,96,MDB.O,COMPLETE,MDB.O
27,0.02623126895491551,2025-05-01 09:48:17.348652,2025-05-01 09:48:25.479682,0 days 00:00:08.131030,32,0.20846059785587445,22,1,57,MDB.O,COMPLETE,MDB.O
28,0.04087395101783379,2025-05-01 09:48:25.485583,2025-05-01 09:48:45.180299,0 days 00:00:19.694716,32,0.31192386414316464,27,11,146,MDB.O,COMPLETE,MDB.O
29,0.05364442357105334,2025-05-01 09:48:45.187842,2025-05-01 09:49:04.394050,0 days 00:00:19.206208,32,0.3786889066255182,24,41,37,MDB.O,COMPLETE,MDB.O
0,0.031178650672445758,2025-05-01 09:49:04.444334,2025-05-01 09:50:11.634950,0 days 00:01:07.190616,32,0.47557589287825963,23,46,225,META.O,COMPLETE,META.O
1,0.03347131443750409,2025-05-01 09:50:11.646811,2025-05-01 09:50:34.306651,0 days 00:00:22.659840,32,0.3444469601433119,24,56,39,META.O,COMPLETE,META.O
2,0.029946016791403577,2025-05-01 09:50:34.313506,2025-05-01 09:50:55.935523,0 days 00:00:21.622017,32,0.44113197841505414,26,16,119,META.O,COMPLETE,META.O
3,0.04072774898511817,2025-05-01 09:50:55.942547,2025-05-01 09:51:03.916594,0 days 00:00:07.974047,64,0.45023560739713875,29,36,72,META.O,COMPLETE,META.O
4,0.03218201005104056,2025-05-01 09:51:03.931423,2025-05-01 09:51:40.017910,0 days 00:00:36.086487,64,0.11093454942691526,26,41,146,META.O,COMPLETE,META.O
5,0.033864805040319614,2025-05-01 09:51:40.029727,2025-05-01 09:51:59.850730,0 days 00:00:19.821003,64,0.2806405083848499,30,51,51,META.O,COMPLETE,META.O
6,0.03113465626276356,2025-05-01 09:51:59.859736,2025-05-01 09:52:16.758731,0 days 00:00:16.898995,64,0.28011503349702616,32,11,222,META.O,COMPLETE,META.O
7,0.031779666143058306,2025-05-01 09:52:16.769318,2025-05-01 09:53:11.823307,0 days 00:00:55.053989,64,0.36661362970727485,26,41,206,META.O,COMPLETE,META.O
8,0.03112119102564752,2025-05-01 09:53:11.832463,2025-05-01 09:53:52.524376,0 days 00:00:40.691913,32,0.40669227329709323,33,21,235,META.O,COMPLETE,META.O
9,0.03416821092607956,2025-05-01 09:53:52.534652,2025-05-01 09:54:38.287096,0 days 00:00:45.752444,64,0.31055844294921076,33,36,175,META.O,COMPLETE,META.O
10,0.020170835390300828,2025-05-01 09:54:38.296162,2025-05-01 09:54:46.829429,0 days 00:00:08.533267,32,0.20573596526758503,20,1,100,META.O,COMPLETE,META.O
11,0.020944849650373305,2025-05-01 09:54:46.838847,2025-05-01 09:54:55.015022,0 days 00:00:08.176175,32,0.20082295524777127,20,1,100,META.O,COMPLETE,META.O
12,0.0204416753903657,2025-05-01 09:54:55.033293,2025-05-01 09:55:02.849922,0 days 00:00:07.816629,32,0.18159353839589343,21,1,95,META.O,COMPLETE,META.O
13,0.020566365862769973,2025-05-01 09:55:02.861841,2025-05-01 09:55:09.809312,0 days 00:00:06.947471,32,0.1752241897669773,20,1,92,META.O,COMPLETE,META.O
14,0.03022854283496786,2025-05-01 09:55:09.816255,2025-05-01 09:55:21.639823,0 days 00:00:11.823568,32,0.2122720377137882,22,6,139,META.O,COMPLETE,META.O
15,0.035939340564264635,2025-05-01 09:55:21.647964,2025-05-01 09:55:34.959695,0 days 00:00:13.311731,32,0.10463902130187194,22,26,70,META.O,COMPLETE,META.O
16,0.03132457072233342,2025-05-01 09:55:34.966498,2025-05-01 09:55:51.924372,0 days 00:00:16.957874,32,0.16421447147120458,20,11,164,META.O,COMPLETE,META.O
17,0.020909179254118542,2025-05-01 09:55:51.932744,2025-05-01 09:55:59.120387,0 days 00:00:07.187643,32,0.2507577734614307,35,1,109,META.O,COMPLETE,META.O
18,0.031679452904293075,2025-05-01 09:55:59.131246,2025-05-01 09:56:10.454164,0 days 00:00:11.322918,32,0.22702937170577878,24,11,73,META.O,COMPLETE,META.O
19,0.02919542078852976,2025-05-01 09:56:10.464443,2025-05-01 09:56:35.614137,0 days 00:00:25.149694,32,0.15928601003115347,22,21,122,META.O,COMPLETE,META.O
20,0.029769645661182308,2025-05-01 09:56:35.623747,2025-05-01 09:56:49.486883,0 days 00:00:13.863136,32,0.1412027829566427,24,6,184,META.O,COMPLETE,META.O
21,0.02116872216756233,2025-05-01 09:56:49.493566,2025-05-01 09:56:58.331972,0 days 00:00:08.838406,32,0.19416015975382403,20,1,99,META.O,COMPLETE,META.O
22,0.03117013035352622,2025-05-01 09:56:58.339163,2025-05-01 09:57:06.821470,0 days 00:00:08.482307,32,0.25149452778842607,21,6,86,META.O,COMPLETE,META.O
23,0.01985283096256112,2025-05-01 09:57:06.827599,2025-05-01 09:57:13.826465,0 days 00:00:06.998866,32,0.1830631248510303,21,1,140,META.O,COMPLETE,META.O
24,0.030588003479435633,2025-05-01 09:57:13.836149,2025-05-01 09:57:35.467488,0 days 00:00:21.631339,32,0.1338197128266696,22,16,136,META.O,COMPLETE,META.O
25,0.02823670921049197,2025-05-01 09:57:35.474261,2025-05-01 09:57:49.613764,0 days 00:00:14.139503,32,0.23943165930732585,25,6,126,META.O,COMPLETE,META.O
26,0.031598402125029595,2025-05-01 09:57:49.623218,2025-05-01 09:58:06.734605,0 days 00:00:17.111387,32,0.1850257596599323,28,16,162,META.O,COMPLETE,META.O
27,0.03465153025112263,2025-05-01 09:58:06.748955,2025-05-01 09:58:29.545568,0 days 00:00:22.796613,32,0.13524787136160796,21,26,151,META.O,COMPLETE,META.O
28,0.03075553125120562,2025-05-01 09:58:29.552434,2025-05-01 09:58:50.167302,0 days 00:00:20.614868,32,0.31087161603292507,23,11,254,META.O,COMPLETE,META.O
29,0.020616528024304435,2025-05-01 09:58:50.174830,2025-05-01 09:58:59.036529,0 days 00:00:08.861699,32,0.213393056766711,23,1,54,META.O,COMPLETE,META.O
