number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_epochs,params_lookback,params_units,user_attrs_Company,state,Company
0,0.06569515828225314,2025-05-01 09:08:09.177251,2025-05-01 09:08:23.526503,0 days 00:00:14.349252,64,0.22718257633087818,23,46,90,KLAC.O,COMPLETE,KLAC.O
1,0.04765248171150058,2025-05-01 09:08:23.540846,2025-05-01 09:08:30.920708,0 days 00:00:07.379862,32,0.3143482314047177,31,11,43,KLAC.O,COMPLETE,KLAC.O
2,0.05201503401246366,2025-05-01 09:08:30.931430,2025-05-01 09:08:40.188196,0 days 00:00:09.256766,64,0.39379109326338413,25,16,83,KLAC.O,COMPLETE,KLAC.O
3,0.045588809425427236,2025-05-01 09:08:40.196225,2025-05-01 09:08:53.095449,0 days 00:00:12.899224,32,0.13957100914012896,29,11,71,KLAC.O,COMPLETE,KLAC.O
4,0.053755862432721555,2025-05-01 09:08:53.105262,2025-05-01 09:09:10.834405,0 days 00:00:17.729143,32,0.43824434352364694,29,16,253,KLAC.O,COMPLETE,KLAC.O
5,0.0566256726861871,2025-05-01 09:09:10.844123,2025-05-01 09:09:22.447010,0 days 00:00:11.602887,32,0.21948108274811343,30,11,230,KLAC.O,COMPLETE,KLAC.O
6,0.05355599848587124,2025-05-01 09:09:22.453853,2025-05-01 09:09:32.591199,0 days 00:00:10.137346,64,0.32001784337302286,24,31,81,KLAC.O,COMPLETE,KLAC.O
7,0.05413874138394892,2025-05-01 09:09:32.600375,2025-05-01 09:09:49.895590,0 days 00:00:17.295215,32,0.12732226140126923,22,26,174,KLAC.O,COMPLETE,KLAC.O
8,0.04885316829338635,2025-05-01 09:09:49.904455,2025-05-01 09:10:17.809427,0 days 00:00:27.904972,32,0.29480899710554576,31,21,175,KLAC.O,COMPLETE,KLAC.O
9,0.05385375649121161,2025-05-01 09:10:17.817382,2025-05-01 09:10:36.318366,0 days 00:00:18.500984,64,0.22495973321533336,29,26,127,KLAC.O,COMPLETE,KLAC.O
10,0.037435055312096205,2025-05-01 09:10:36.324964,2025-05-01 09:10:45.308761,0 days 00:00:08.983797,32,0.11977261052162916,35,1,51,KLAC.O,COMPLETE,KLAC.O
11,0.037460040927124454,2025-05-01 09:10:45.319177,2025-05-01 09:10:57.737617,0 days 00:00:12.418440,32,0.11227304651802476,35,1,32,KLAC.O,COMPLETE,KLAC.O
12,0.03797826068155372,2025-05-01 09:10:57.744310,2025-05-01 09:11:07.554512,0 days 00:00:09.810202,32,0.11822690505557965,35,1,34,KLAC.O,COMPLETE,KLAC.O
13,0.03657290120013913,2025-05-01 09:11:07.563437,2025-05-01 09:11:14.178930,0 days 00:00:06.615493,32,0.17917272913326238,35,1,124,KLAC.O,COMPLETE,KLAC.O
14,0.04744986690696457,2025-05-01 09:11:14.186609,2025-05-01 09:12:21.443223,0 days 00:01:07.256614,32,0.18096832331788332,33,56,128,KLAC.O,COMPLETE,KLAC.O
15,0.0514778629144588,2025-05-01 09:12:21.452336,2025-05-01 09:12:42.795446,0 days 00:00:21.343110,32,0.17589643800910337,20,36,113,KLAC.O,COMPLETE,KLAC.O
16,0.03662847280866744,2025-05-01 09:12:42.802540,2025-05-01 09:12:49.516179,0 days 00:00:06.713639,32,0.26743094602227435,33,1,174,KLAC.O,COMPLETE,KLAC.O
17,0.04836929461059079,2025-05-01 09:12:49.530592,2025-05-01 09:13:07.447028,0 days 00:00:17.916436,32,0.27899664402489716,33,6,173,KLAC.O,COMPLETE,KLAC.O
18,0.05852988846441246,2025-05-01 09:13:07.455602,2025-05-01 09:13:31.654698,0 days 00:00:24.199096,64,0.36859261298250406,26,41,202,KLAC.O,COMPLETE,KLAC.O
19,0.047284433769376716,2025-05-01 09:13:31.665922,2025-05-01 09:13:42.896688,0 days 00:00:11.230766,32,0.4920763556082953,33,6,154,KLAC.O,COMPLETE,KLAC.O
20,0.04818516790706746,2025-05-01 09:13:42.907324,2025-05-01 09:14:15.942111,0 days 00:00:33.034787,32,0.2678035918865336,27,21,204,KLAC.O,COMPLETE,KLAC.O
