Company,lookback,units,dropout,batch_size,epochs
AAPL.O,1,253,0.41350878691658954,32,32
ADBE.O,1,58,0.25396612643511496,32,31
ADI.O,1,214,0.3456198714111698,64,32
ADSK.O,1,127,0.1535190394560983,32,22
AMAT.O,21,179,0.18033753366302363,32,33
AMD.O,1,171,0.26023907663810286,32,24
ANSS.O,56,71,0.16928940483960114,32,22
APP.O,1,118,0.27338466721163224,32,26
ASML.O,1,195,0.3391599947046401,32,26
AVGO.O,1,210,0.45095619766006034,64,23
CDNS.O,1,206,0.304380834776405,32,21
