Date,Index_Level,Index_Predicted_Return,Predicted_Index_Level
2024-03-15,13757.56222894774,-0.005796913169408343,13873.745965810032
2024-03-18,13845.673161586772,0.0034975920444744717,13922.270669327108
2024-03-19,13825.15639135642,-0.0050766393447800795,13851.592322278526
2024-03-20,14063.231868577575,0.0007900621704428574,13862.535941372755
2024-03-21,14200.47622685865,-0.00150779181103698,13841.634123200147
2024-03-22,14149.51588148999,0.0018694192034645534,13867.509939837386
2024-03-25,14156.654955412014,0.0013121902047812718,13885.706750545149
2024-03-26,14140.986112313638,0.005072189385095279,13956.137684929812
2024-03-27,14204.65268842385,0.00591056774101519,14038.626382119523
2024-03-28,14143.766381673016,-0.0016183593570347967,14015.906839754105
2024-04-01,14186.615564824768,0.000730702799110219,14026.14830211398
2024-04-02,14031.916970551974,-0.004102438217825164,13968.606895270503
2024-04-03,14077.010449180065,0.0019142696383511093,13995.34657534018
2024-04-04,13822.53649210557,-0.008165799346524708,13881.06338342088
2024-04-05,13973.359214147838,0.004201835707584331,13939.38933120458
2024-04-08,14012.389347043722,-0.001591974566292301,13917.198177919656
2024-04-09,14109.265911574874,0.003022701494289388,13959.265713648374
2024-04-10,13934.054482163863,-0.009828056003278586,13822.073268449989
2024-04-11,14166.056489291892,0.010474979219012462,13966.85919870067
2024-04-12,13815.092439769684,-0.00525846724354489,13893.4149271091
2024-04-15,13524.316141849897,-0.0057633471759070245,13813.34235342524
2024-04-16,13549.120967137334,-0.006118712372346972,13728.822484663873
2024-04-17,13286.575954942306,-0.005021631979666179,13659.881390631726
2024-04-18,13160.262893079753,-0.010824247033243443,13512.023460014723
2024-04-19,12867.058217759612,-0.015425215030501553,13303.597592646815
2024-04-22,13082.142793195117,-0.00039347499440571407,13298.362959658472
2024-04-23,13354.429756149844,0.0010152787557800975,13311.864505058064
2024-04-24,13417.7722445614,-0.002366340492666643,13280.364101046855
2024-04-25,13409.630096403904,-0.004694866036744942,13218.014570673242
2024-04-26,13671.544553332304,0.010052027178755155,13350.88241238683
2024-04-29,13648.458286052472,0.00478803701609233,13414.806931574838
2024-04-30,13325.610209140576,-0.0042747437158345124,13357.462069944955
2024-05-01,13128.906031167013,-0.005365817617888915,13285.788364639762
2024-05-02,13363.585226474124,0.01170837280341082,13441.343327800181
2024-05-03,13587.364535448356,0.002149900725347542,13470.240881570266
2024-05-06,13792.008773576576,-0.0029165648967090373,13430.954049864864
2024-05-07,13706.15351896106,-0.0049727848939058045,13364.164804454951
2024-05-08,13665.68921573122,0.0037497498184311624,13414.27707900394
2024-05-09,13688.827712244218,0.005908033360374893,13493.529075492008
2024-05-10,13724.418664296052,0.006166980110302473,13576.743400918353
2024-05-13,13809.666019317692,-0.0004806971205248742,13570.217099459425
2024-05-14,13909.06422905219,0.002655083126424829,13606.247153902123
